,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/osc_f,config/osc_pop_name,config/saveFolder,config/simLabel,logdir
0,"loss    0.0
dtype: float64",0.0,1719029177,,False,1,619dc_00000,2024-06-22_00-06-17,2740.753787279129,2740.753787279129,3493960,grid,10.0.0.101,2740.753787279129,1,5.0,IT3,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00000,619dc_00000
1,"loss    0.0
dtype: float64",0.0,1719029172,,False,1,619dc_00001,2024-06-22_00-06-12,2734.9556415081024,2734.9556415081024,3493986,grid,10.0.0.101,2734.9556415081024,1,8.0,IT3,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00001,619dc_00001
2,"loss    0.0
dtype: float64",0.0,1719029147,,False,1,619dc_00002,2024-06-22_00-05-47,2710.616235256195,2710.616235256195,3493987,grid,10.0.0.101,2710.616235256195,1,11.0,IT3,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00002,619dc_00002
3,"loss    0.0
dtype: float64",0.0,1719029129,,False,1,619dc_00003,2024-06-22_00-05-29,2692.4233815670013,2692.4233815670013,3493988,grid,10.0.0.101,2692.4233815670013,1,14.0,IT3,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00003,619dc_00003
4,"loss    0.0
dtype: float64",0.0,1719029101,,False,1,619dc_00004,2024-06-22_00-05-01,2664.9615292549133,2664.9615292549133,3493969,grid,10.0.0.101,2664.9615292549133,1,17.0,IT3,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00004,619dc_00004
5,"loss    0.0
dtype: float64",0.0,1719029083,,False,1,619dc_00005,2024-06-22_00-04-43,2646.7640705108643,2646.7640705108643,3493989,grid,10.0.0.101,2646.7640705108643,1,20.0,IT3,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00005,619dc_00005
6,"loss    0.0
dtype: float64",0.0,1719029103,,False,1,619dc_00006,2024-06-22_00-05-03,2666.68571805954,2666.68571805954,3493990,grid,10.0.0.101,2666.68571805954,1,23.0,IT3,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00006,619dc_00006
7,"loss    0.0
dtype: float64",0.0,1719029198,,False,1,619dc_00007,2024-06-22_00-06-38,2761.874641418457,2761.874641418457,3493991,grid,10.0.0.101,2761.874641418457,1,26.0,IT3,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00007,619dc_00007
8,"loss    0.0
dtype: float64",0.0,1719029111,,False,1,619dc_00008,2024-06-22_00-05-11,2674.159035205841,2674.159035205841,3493992,grid,10.0.0.101,2674.159035205841,1,29.0,IT3,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00008,619dc_00008
9,"loss    0.0
dtype: float64",0.0,1719031763,,False,1,619dc_00009,2024-06-22_00-49-23,2676.706905603409,2676.706905603409,3501296,grid,10.0.0.101,2676.706905603409,1,32.0,IT3,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00009,619dc_00009
10,"loss    0.0
dtype: float64",0.0,1719031801,,False,1,619dc_00010,2024-06-22_00-50-01,2695.9009256362915,2695.9009256362915,3501939,grid,10.0.0.101,2695.9009256362915,1,35.0,IT3,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00010,619dc_00010
11,"loss    0.0
dtype: float64",0.0,1719031759,,False,1,619dc_00011,2024-06-22_00-49-19,2652.6333508491516,2652.6333508491516,3502001,grid,10.0.0.101,2652.6333508491516,1,38.0,IT3,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00011,619dc_00011
12,"loss    0.0
dtype: float64",0.0,1719031805,,False,1,619dc_00012,2024-06-22_00-50-05,2691.0865795612335,2691.0865795612335,3503212,grid,10.0.0.101,2691.0865795612335,1,41.0,IT3,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00012,619dc_00012
13,"loss    0.0
dtype: float64",0.0,1719031760,,False,1,619dc_00013,2024-06-22_00-49-20,2627.8597695827484,2627.8597695827484,3503854,grid,10.0.0.101,2627.8597695827484,1,44.0,IT3,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00013,619dc_00013
14,"loss    0.0
dtype: float64",0.0,1719031749,,False,1,619dc_00014,2024-06-22_00-49-09,2598.095205307007,2598.095205307007,3504498,grid,10.0.0.101,2598.095205307007,1,47.0,IT3,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00014,619dc_00014
15,"loss    0.0
dtype: float64",0.0,1719031839,,False,1,619dc_00015,2024-06-22_00-50-39,2663.778641462326,2663.778641462326,3505144,grid,10.0.0.101,2663.778641462326,1,50.0,IT3,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00015,619dc_00015
16,"loss    0.0
dtype: float64",0.0,1719031805,,False,1,619dc_00016,2024-06-22_00-50-05,2624.5346546173096,2624.5346546173096,3505780,grid,10.0.0.101,2624.5346546173096,1,5.0,IT5A,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00016,619dc_00016
17,"loss    0.0
dtype: float64",0.0,1719031870,,False,1,619dc_00017,2024-06-22_00-51-10,2668.3830258846283,2668.3830258846283,3506425,grid,10.0.0.101,2668.3830258846283,1,8.0,IT5A,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00017,619dc_00017
18,"loss    0.0
dtype: float64",0.0,1719034411,,False,1,619dc_00018,2024-06-22_01-33-31,2657.9946575164795,2657.9946575164795,3508342,grid,10.0.0.101,2657.9946575164795,1,11.0,IT5A,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00018,619dc_00018
19,"loss    0.0
dtype: float64",0.0,1719034471,,False,1,619dc_00019,2024-06-22_01-34-31,2708.9400918483734,2708.9400918483734,3508981,grid,10.0.0.101,2708.9400918483734,1,14.0,IT5A,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00019,619dc_00019
20,"loss    0.0
dtype: float64",0.0,1719034462,,False,1,619dc_00020,2024-06-22_01-34-22,2698.216327190399,2698.216327190399,3508984,grid,10.0.0.101,2698.216327190399,1,17.0,IT5A,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00020,619dc_00020
21,"loss    0.0
dtype: float64",0.0,1719034400,,False,1,619dc_00021,2024-06-22_01-33-20,2633.720767259598,2633.720767259598,3509495,grid,10.0.0.101,2633.720767259598,1,20.0,IT5A,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00021,619dc_00021
22,"loss    0.0
dtype: float64",0.0,1719034490,,False,1,619dc_00022,2024-06-22_01-34-50,2686.548694372177,2686.548694372177,3510903,grid,10.0.0.101,2686.548694372177,1,23.0,IT5A,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00022,619dc_00022
